Description, CCRMA Stage 56-speaker array
Name, Stage
Fields, Name, Azimuth, Elevation,  Radius, Real
Units,  ,Degrees, Degrees, Inches

# towers 8
Spkr, S01, 27.0,3.9,216.0,T
Spkr, S02, -27.0,3.9,216.0,T
Spkr, S03, 63.0,8.0,162.0,T
Spkr, S04, -63.0,8.0,162.0,T
Spkr, S05, 117.0,8.0,162.0,T
Spkr, S06, -117.0,8.0,162.0,T
Spkr, S07, 153.0,3.9,216.0,T
Spkr, S08, -153.0,3.9,216.0,T

# upper 8
Spkr, S09, 23.0,29.0,171.0,T
Spkr, S10, -23.0,29.0,171.0,T
Spkr, S11, 90.0,58.0,109.0,T
Spkr, S12, -90.0,58.0,109.0,T
Spkr, S13, 157.0,31.0,167.0,T
Spkr, S14, -157.0,31.0,167.0,T
Spkr, S15, 0.0,70.0,108.0,T
Spkr, S16, 180.0,70.0,108.0,T

# ring of 12 (rails)
Spkr, D17, 9.0,4.0,237.0,T
Spkr, D18, -9.0,4.0,237.0,T
Spkr, D19, 45.0,6.0,187.0,T
Spkr, D20, -45.0,6.0,187.0,T
Spkr, D21, 81.0,8.0,131.0,T
Spkr, D22, -81.0,8.0,131.0,T
Spkr, D23, 99.0,8.0,130.0,T
Spkr, D24, -99.0,8.0,130.0,T
Spkr, D25, 135.0,6.0,185.0,T
Spkr, D26, -135.0,6.0,185.0,T
Spkr, D27, 171.0,4.0,238.0,T
Spkr, D28, -171.0,4.0,238.0,T

# ring of 14 (lower trusses)
Spkr, D29, 14.0,18.0,243.0,T
Spkr, D30, -14.0,18.0,243.0,T
Spkr, D31, 39.0,22.0,200.0,T
Spkr, D32, -39.0,22.0,200.0,T
Spkr, D33, 60.0,30.0,154.0,T
Spkr, D34, -60.0,30.0,154.0,T
Spkr, D35, 90.0,34.0,139.0,T
Spkr, D36, -90.0,34.0,139.0,T
Spkr, D37, 122.0,30.0,153.0,T
Spkr, D38, -122.0,30.0,153.0,T
Spkr, D39, 144.0,22.0,201.0,T
Spkr, D40, -144.0,22.0,201.0,T
Spkr, D41, 166.0,19.0,243.0,T
Spkr, D42, -166.0,19.0,243.0,T

# ring of 6 (upper trusses)
Spkr, D43, 0.0,31.0,180.0,T
Spkr, D44, 39.0,47.0,128.0,T
Spkr, D45, -39.0,47.0,128.0,T
Spkr, D46, 146.0,47.0,129.0,T
Spkr, D47, -146.0,47.0,129.0,T
Spkr, D48, 180.0,33.0,180.0,T

# Lower ring of 8 in towers
Spkr, L01, 27.0,-10.0,216.0,T
Spkr, L02, -27.0,-10.0,216.0,T
Spkr, L03, 63.0,-14.0,162.0,T
Spkr, L04, -63.0,-14.0,162.0,T
Spkr, L05, 117.0,-14.0,162.0,T
Spkr, L06, -117.0,-14.0,162.0,T
Spkr, L07, 153.0,-10.0,216.0,T
Spkr, L08, -153.0,-10.0,216.0,T

# Imaginary speaker at the bottom
Spkr, *I1, 0,-90,40,F
